ACMH Hospital|One Nolte DriveKittanning, Pennsylvania 16201-7111|

AHMC Anaheim Regional Medical Center|1111 W. La Palma AvenueAnaheim, California 92801-2881|http://armc4u@ahmchealth.com

AHS Southcrest Hospital, LLC dba Hillcrest Hospital South|8801 South 101st East AvenueTulsa, Oklahoma 74133-5716|http://www.hillcrest.com

AMITA Health Adventist Medical Center Bolingbrook|500 Remington BoulevardBolingbrook, Illinois 60440-4988|http://www.amitahealth.org/locations/hospitals/bolingbrook

AMITA Health Adventist Medical Center GlenOaks|701 N. Winthrop AvenueGlendale Heights, Illinois 60139-1403|http://www.amitahealth.org

AMITA Health Adventist Medical Center Hinsdale|120 N. Oak StreetHinsdale, Illinois 60521-3890|http://www.amitahealth.org/locations/hospitals/hinsdale

AMITA Health Adventist Medical Center La Grange|5101 S. Willow Springs RoadLa Grange, Illinois 60525-2680|http://www.amitahealth.org/locations/hospitals/lagrange

AMITA Health Alexian Brothers Medical Center Elk Grove Village|800 Biesterfield RoadElk Grove Village, Illinois 60007-3397|https://www.amitahealth.org

AMITA Health Mercy Medical Center Aurora|1325 N. Highland AvenueAurora, Illinois 60506-1449|https://www.amitahealth.org/our-locations/hospitals/amita-health-mercy-medical-center-aurora/

AMITA Health Resurrection Medical Center Chicago|7435 W. Talcott AvenueChicago, Illinois 60631-3746|http://www.presencehealth.org/presence-resurrection-medical-center-chicago

AMITA Health Saint Francis Hospital Evanston|355 Ridge AvenueEvanston, Illinois 60202-3399|http://amitahealth.org

AMITA Health Saint Joseph Hospital Chicago|2900 N. Lake Shore DriveChicago, Illinois 60657|http://amitahealth.org

AMITA Health Saint Joseph Hospital Elgin|77 N. Airlite StreetElgin, Illinois 60123-4912|https://www.amitahealth.org/our-locations/hospitals/amita-health-saint-joseph-hospital-elgin/

AMITA Health Saint Joseph Medical Center Joliet|333 N. Madison StreetJoliet, Illinois 60435-6595|http://amitahealth.org/amitahealthsaintjosephmedicalcenterjoliet

AMITA Health Saints Mary and Elizabeth Medical Center Chicago|2233 W. Division StreetChicago, Illinois 60622-8151|http://www.presencehealth.org/presence-saints-mary-and-elizabeth-medical-center-chicago-contact-us-phone

AMITA Health St. Alexius Medical Center Hoffman Estates|1555 Barrington RoadHoffman Estates, Illinois 60169-1019|https://www.amitahealth.org

AMITA Health St. Mary's Hospital Kankakee|500 W. Court StreetKankakee, Illinois 60901-3661|http://www.amitahealth.org/our-locations/hospitals/amita-health-st.mary-s-hospital-kankakee/

